"P" "B"
"1" 4.91569358993733 4.91586386752428
"2" 5.6071931618098 5.60789784911216
"3" 6.27918083029473 6.28091642606995
"4" 6.93100206241501 6.93454546853073
"5" 7.50967953646003 7.51595399821642
"6" 7.92669142869163 7.93621534338965
"7" 8.22175642599468 8.23499609176655
"8" 8.43624135396253 8.45349819566788
"9" 8.59656856239957 8.61806023935089
"10" 8.7189176921164 8.74517155893131
"11" 8.81403535318097 8.84530353485968
"12" 8.88876467644011 8.92545991241495
"13" 8.94837626819651 8.99051441946986
"14" 8.99572020427529 9.04370261491719
"15" 9.03341553147099 9.0875001532356
"16" 9.06326681107772 9.12368661929839
"17" 9.08661444553767 9.15358917930175
"18" 9.10447037847391 9.17820852724176
"19" 9.11774766720357 9.19836254380187
"20" 9.1264910699352 9.21449058907578
"21" 9.13268398616135 9.22738314624341
"22" 9.13522439484683 9.23709680397112
"23" 9.13493895870437 9.24400532700475
"24" 9.13205174516258 9.24831345539888
"25" 9.12673088848846 9.25022639188921
"26" 9.11917038680478 9.24980547407464
"27" 9.10958464770609 9.2471190540085
"28" 9.09776420436835 9.24230926729848
"29" 9.08397476947628 9.23530504472759
"30" 9.06819334193519 9.22618560453757
"31" 9.05067007841622 9.21489383094268
"32" 9.03128212958393 9.20139938591683
"33" 9.00980106659177 9.18565598529888
"34" 8.98637630594038 9.16759594483906
"35" 8.96074271065521 9.14712611998947
"36" 8.93327340649853 9.12420306171085
"37" 8.90345091918195 9.09868048373055
"38" 8.87141517961061 9.07046096089105
"39" 8.8370032599457 9.03942612963732
"40" 8.80009103220271 9.00542351573715
"41" 8.76057140891521 8.96832225563524
"42" 8.71829907326135 8.92796270299701
"43" 8.67308095862459 8.88418524291604
"44" 8.62481026357325 8.83682201637196
"45" 8.57338023676707 8.78573152222718
"46" 8.51849766419219 8.73070571440395
"47" 8.46008026050219 8.67165027630858
"48" 8.39794133950796 8.60838149238788
"49" 8.33199861943202 8.54080640785256
"50" 8.26213794716107 8.46886116516951
"51" 8.18827991202081 8.39253069221891
"52" 8.11058803318166 8.31191579462456
"53" 8.02897297891614 8.22717518918056
"54" 7.94400931973086 8.13861329387694
"55" 7.85584556630523 8.04676393198494
"56" 7.76509106103719 7.95230614670981
"57" 7.67268614971437 7.85621561060016
"58" 7.57986966203354 7.75972991991257
"59" 7.48765579265033 7.66443898919012
"60" 7.39802375304927 7.57220819399328
"61" 7.31308619248685 7.4853724120999
"62" 7.2347930885616 7.4062772481398
"63" 7.16569144383732 7.33759457417778
"64" 7.10799697181525 7.28193523521438
"65" 7.06408586265268 7.24180419533384
"66" 7.03572585533006 7.21921977792078
"67" 7.02428530398278 7.21569697606317
"68" 7.0304646411454 7.23195218552155
"69" 7.05375731052578 7.26766942410637
"70" 7.08498255170637 7.31969224707995
"71" 7.14787836422683 7.39281051600121
"72" 7.21514829104165 7.47798154435262
"73" 7.29202931716919 7.57433405236616
"74" 7.37616907300574 7.67905423832497
"75" 7.46492830357845 7.78903050901323
"76" 7.55594809072241 7.90159616425471
"77" 7.64649360362769 8.01418472432704
"78" 7.73554836377941 8.12500051404582
"79" 7.82130861401766 8.2323587640704
"80" 7.90277867235272 8.33510116464344
"81" 7.97922045623022 8.43241311068142
"82" 8.05026358962403 8.52380398441245
"83" 8.11540219051655 8.60893246936484
"84" 8.17477659013032 8.68776807892206
"85" 8.22836653255609 8.76031878931241
"86" 8.27662948157688 8.82673601259843
"87" 8.31892334530378 8.88739025912847
"88" 8.35651132756692 8.94223876970808
"89" 8.38870384976941 8.9918715655257
"90" 8.41642978549071 9.0363099923633
"91" 8.44002794715223 9.07587822742488
"92" 8.45588330010183 9.11054543261184
"93" 8.47414434366836 9.14150670744815
"94" 8.48580067968606 9.16798118205176
"95" 8.49385723049514 9.19045348420321
"96" 8.49858444159161 9.20908290339665
"97" 8.50020183985928 9.2240231603926
"98" 8.49884570041264 9.23543069625299
"99" 8.49453234211832 9.24331809025303
"100" 8.4874832380306 9.24779612568519
"101" 8.4776635473944 9.24888932984175
"102" 8.46537440507248 9.24664547856252
"103" 8.44856750174921 9.24110683446791
"104" 8.43296975678395 9.23233041841417
"105" 8.41318302263379 9.22016474745151
"106" 8.39064681101546 9.20462636940685
"107" 8.36563411211595 9.1857246248722
"108" 8.33816839728745 9.16337298389538
"109" 8.30820167707093 9.13751140753022
"110" 8.27569822716888 9.10807491697651
"111" 8.24061322236584 9.07498791023391
"112" 8.2028734722267 9.0381688873814
"113" 8.16249496369093 8.99752884450775
"114" 8.11931390588704 8.9529662060638
"115" 8.07340734172453 8.90443700554054
"116" 8.02459398783336 8.85178307327583
"117" 7.97291401433207 8.79498208921345
"118" 7.91815946064325 8.73397284148086
"119" 7.86040416602998 8.66870701329348
"120" 7.79955967571798 8.59915563016211
"121" 7.73595588301688 8.52540514710576
"122" 7.66926856451277 8.44745113809627
"123" 7.59957425588965 8.3654330580994
"124" 7.52654481321583 8.27954710954249
"125" 7.45195196374844 8.19012606547495
"126" 7.37440909808538 8.09747102729575
"127" 7.29543453742293 8.00218186347195
"128" 7.21345175984218 7.90466730340641
"129" 7.1310359555397 7.80593604420829
"130" 7.04807319254934 7.70682181860347
"131" 6.96561762135551 7.60851137357673
"132" 6.88433131441737 7.51225159915187
"133" 6.80543005017046 7.41956040612809
"134" 6.73056003385741 7.33219252244858
"135" 6.65965384213286 7.25156372304059
"136" 6.59545359938951 7.17986506216397
"137" 6.53891633052431 7.11884170727456
"138" 6.49129085246361 7.07025199303475
"139" 6.45412013105264 7.0358911194786
"140" 6.42838289129687 7.01707662373577
"141" 6.41443191607421 7.01465340345974
"142" 6.41434175449015 7.02988393097585
"143" 6.42688889374468 7.0622649542876
"144" 6.45221355328873 7.11146390069053
"145" 6.48962077159939 7.17656982374324
"146" 6.53864045090342 7.25628160949681
"147" 6.59764829944474 7.34859137128289
"148" 6.66526488366961 7.45141418142681
"149" 6.73980208625232 7.56242599443869
"150" 6.81992787611685 7.67944730843425
"151" 6.90362267221539 7.79999266534809
"152" 6.98939968115667 7.92197228149262
"153" 7.07585204573603 8.04349473613424
"154" 7.16137537307899 8.16285757464358
"155" 7.24565233927969 8.27870450007278
"156" 7.31583173081988 8.38760753613285
"157" 7.40497605160822 8.4956872918841
"158" 7.47897031279468 8.59538887731334
"159" 7.54855408068709 8.68863829424526
"160" 7.61345674481239 8.77521682356655
"161" 7.67350812610527 8.85505381761631
"162" 7.72708504697806 8.92778289774775
"163" 7.77876672907463 8.99470545288909
"164" 7.82409456488994 9.05485294307145
"165" 7.86453922654248 9.10877424257703
"166" 7.90024107325645 9.15670915301924
"167" 7.93145232510089 9.19895151949043
"168" 7.9581481671799 9.23566856849667
"169" 7.980473161382 9.26710445777851
"170" 7.99730495960196 9.29299355043258
"171" 8.01305115648993 9.31514370533614
"172" 8.02388023788097 9.33223561421948
"173" 8.03066931811539 9.34473006046801
"174" 8.03385043847824 9.35284631316201
"175" 8.03354873321628 9.35671470531237
"176" 8.02982368440904 9.35641682247626
"177" 8.02275273030202 9.35202608296855
"178" 8.01248468122057 9.34359255000077
"179" 7.99905495185077 9.33113753803277
"180" 7.98226637845002 9.31463410569094
"181" 7.96251550991401 9.29412745110163
"182" 7.93962828250616 9.26957256649245
"183" 7.91230375166704 9.24067106208574
"184" 7.88460352070166 9.20809954544008
