"P" "B"
"1" 4.91569358993732 4.91569592250591
"2" 5.60719316180979 5.60720281505915
"3" 6.27918083029472 6.27920460584757
"4" 6.93100206241499 6.93105060395972
"5" 7.50967953646003 7.50974725387445
"6" 7.92669142869163 7.92677092397232
"7" 8.22175642599468 8.22193753853177
"8" 8.43624135396252 8.43648275615078
"9" 8.59656856239956 8.59675739832003
"10" 8.71891769211639 8.7192598856457
"11" 8.81403535318096 8.81447200736104
"12" 8.88876467644011 8.889409714233
"13" 8.9483762681965 8.9489603651553
"14" 8.99572020427529 8.99637747421072
"15" 9.03341553147099 9.03415500798168
"16" 9.06326681107771 9.06409332423668
"17" 9.08661444553766 9.08754260348939
"18" 9.10447037847392 9.10552833332371
"19" 9.11774766720357 9.11889338548639
"20" 9.1264910699352 9.12810925588541
"21" 9.13268398616135 9.13398770883664
"22" 9.13522439484683 9.13662225879657
"23" 9.13493895870437 9.13641618240949
"24" 9.13205174516257 9.13360418899217
"25" 9.12673088848846 9.12843165261468
"26" 9.11917038680478 9.12098618098148
"27" 9.10958464770608 9.11136960270888
"28" 9.09776420436835 9.09976722941329
"29" 9.08397476947628 9.08613136569981
"30" 9.06819334193518 9.07057454447004
"31" 9.05067007841622 9.05307794450792
"32" 9.03128212958393 9.03364278835658
"33" 9.00980106659176 9.01224934887769
"34" 8.98637630594037 8.98886248452776
"35" 8.96074271065521 8.96341631896824
"36" 8.93327340649853 8.93589460437832
"37" 8.90345091918194 8.90617413240218
"38" 8.87141517961061 8.87418181354103
"39" 8.83700325994569 8.83981797186952
"40" 8.8000910322027 8.80294972006097
"41" 8.7605714089152 8.76346151794665
"42" 8.71829907326135 8.72120608740791
"43" 8.67308095862458 8.67603315650463
"44" 8.62481026357325 8.62778272831815
"45" 8.57338023676706 8.57631345271715
"46" 8.51849766419218 8.52141682039486
"47" 8.46008026050219 8.46299754738731
"48" 8.39794133950795 8.40085532103243
"49" 8.33199861943201 8.33488325214988
"50" 8.26213794716106 8.26499203226296
"51" 8.1882799120208 8.19113841878371
"52" 8.11058803318164 8.11337755915725
"53" 8.02897297891613 8.03181743505786
"54" 7.94400931973085 7.94670015935818
"55" 7.85584556630522 7.85847302898511
"56" 7.76509106103719 7.7677187797876
"57" 7.67268614971436 7.67529268176542
"58" 7.57986966203352 7.5822880017667
"59" 7.48765579265032 7.49012436507851
"60" 7.39802375304925 7.40047882961429
"61" 7.31308619248683 7.31545266613951
"62" 7.23479308856159 7.23716546573199
"63" 7.1656914438373 7.1680292159809
"64" 7.10799697181524 7.11039966406128
"65" 7.06408586265267 7.06653950227272
"66" 7.03572585533006 7.03826364584189
"67" 7.02428530398277 7.02693095143059
"68" 7.03046464114539 7.03317571967585
"69" 7.05375731052577 7.05670275771133
"70" 7.08498255170635 7.09451156800899
"71" 7.14787836422682 7.15136869252594
"72" 7.21514829104164 7.21869273570165
"73" 7.29202931716918 7.29585039639411
"74" 7.37616907300573 7.38033912217238
"75" 7.46492830357844 7.46937469730949
"76" 7.5559480907224 7.56057706268043
"77" 7.64649360362769 7.65163945013903
"78" 7.7355483637794 7.74097061081697
"79" 7.82130861401766 7.82705157034752
"80" 7.90277867235272 7.90884098210686
"81" 7.97922045623022 7.98560259863533
"82" 8.05026358962403 8.05689187546377
"83" 8.11540219051655 8.12239536004209
"84" 8.17477659013032 8.18208664132908
"85" 8.22836653255609 8.23597803192765
"86" 8.27662948157687 8.28419472406245
"87" 8.31892334530377 8.32710975267657
"88" 8.35651132756691 8.36466556647898
"89" 8.38870384976941 8.39744630393808
"90" 8.41642978549071 8.42546592798507
"91" 8.44002794715222 8.44905609633667
"92" 8.45588330010183 8.46808449654969
"93" 8.47414434366835 8.48403953776719
"94" 8.48580067968605 8.49588151533112
"95" 8.49385723049514 8.50420373436289
"96" 8.49858444159161 8.50919217090599
"97" 8.50020183985927 8.5110120875088
"98" 8.49884570041263 8.50986853197015
"99" 8.49453234211831 8.50579064367776
"100" 8.48748323803059 8.49892639249502
"101" 8.4776635473944 8.48933888087926
"102" 8.46537440507247 8.47708083603378
"103" 8.44856750174921 8.46227880956421
"104" 8.43296975678394 8.44503338338172
"105" 8.41318302263378 8.4251946130673
"106" 8.39064681101546 8.40281160680451
"107" 8.36563411211594 8.37797733479921
"108" 8.33816839728744 8.35060749128919
"109" 8.30820167707093 8.32069972937828
"110" 8.27569822716887 8.28822538635606
"111" 8.24061322236583 8.25314740711481
"112" 8.20287347222669 8.21541726611173
"113" 8.16249496369092 8.17498628375308
"114" 8.11931390588703 8.13178525063193
"115" 8.07340734172452 8.08578734296828
"116" 8.02459398783335 8.03688240285008
"117" 7.97291401433205 7.98504764097849
"118" 7.91815946064324 7.93023548737965
"119" 7.86040416602997 7.8723932210981
"120" 7.79955967571797 7.81149200245371
"121" 7.73595588301687 7.74758560867477
"122" 7.66926856451276 7.68064745316418
"123" 7.59957425588963 7.61075595765809
"124" 7.52654481321582 7.53798228503319
"125" 7.45195196374843 7.46264358862405
"126" 7.37440909808536 7.38483109255192
"127" 7.29543453742292 7.30502465705258
"128" 7.21345175984216 7.22336536169088
"129" 7.13103595553969 7.14068777953424
"130" 7.04807319254932 7.05752988110202
"131" 6.9656176213555 6.97475309932487
"132" 6.88433131441736 6.89324344014897
"133" 6.80543005017046 6.81412054997423
"134" 6.73056003385741 6.7387000221983
"135" 6.65965384213285 6.66796296398998
"136" 6.5954535993895 6.60362559565916
"137" 6.5389163305243 6.54699075207814
"138" 6.49129085246361 6.49940279210358
"139" 6.45412013105263 6.46225447271106
"140" 6.42838289129686 6.43659630366933
"141" 6.4144319160742 6.42312464843009
"142" 6.41434175449014 6.42292879574178
"143" 6.42688889374467 6.43569626241049
"144" 6.45221355328872 6.46131865990115
"145" 6.48962077159939 6.49923138449677
"146" 6.53864045090341 6.5486204573695
"147" 6.59764829944473 6.60810121258075
"148" 6.6652648836696 6.6762378714358
"149" 6.73980208625231 6.75138806012523
"150" 6.81992787611685 6.83200472981859
"151" 6.90362267221539 6.91626727706133
"152" 6.98939968115666 7.0026258052954
"153" 7.07585204573602 7.08964427769438
"154" 7.16137537307898 7.17597193471686
"155" 7.24565233927968 7.2605923162793
"156" 7.31583173081988 7.33985500290838
"157" 7.40497605160822 7.42098805579819
"158" 7.47897031279467 7.49547887638386
"159" 7.54855408068708 7.56555426460601
"160" 7.61345674481238 7.63092425917521
"161" 7.67350812610527 7.69142045567246
"162" 7.72708504697805 7.74655193497836
"163" 7.77876672907463 7.79751146371917
"164" 7.82409456488993 7.84316947907353
"165" 7.86453922654247 7.88396616216986
"166" 7.90024107325645 7.92002173036133
"167" 7.93145232510088 7.95150574574944
"168" 7.9581481671799 7.97851662466851
"169" 7.98047316138199 8.00119766990716
"170" 7.99730495960195 8.01933416848046
"171" 8.01305115648993 8.03430232770467
"172" 8.02388023788096 8.04508612361482
"173" 8.03066931811538 8.05204494241711
"174" 8.03385043847824 8.05536520746561
"175" 8.03354873321627 8.05516611286459
"176" 8.02982368440903 8.05153037846883
"177" 8.02275273030202 8.04454590821686
"178" 8.01248468122056 8.03428189524472
"179" 7.99905495185077 8.02080554050297
"180" 7.98226637845002 8.00410318523533
"181" 7.962515509914 7.98427647951076
"182" 7.93962828250615 7.96132166505649
"183" 7.91230375166704 7.93496818685225
"184" 7.88460352070165 7.90607762170167
"185" 7.8524291445889 7.87376614475694
"186" 7.81713573301401 7.83829779051368
"187" 7.77873068701491 7.79970557564646
"188" 7.73722403436126 7.75796380932271
"189" 7.69245655082233 7.71300696888556
"190" 7.64468371508744 7.66491946690508
"191" 7.59376517447767 7.61364957864948
"192" 7.53965779480317 7.55922659907845
"193" 7.48210542401277 7.50149959213729
"194" 7.42207672804015 7.44087853025039
"195" 7.35856063844122 7.37711277288015
"196" 7.29098257896598 7.31008399050571
"197" 7.22334125351496 7.24099665076989
"198" 7.15194889177973 7.16909282345674
"199" 7.07826694137223 7.09488300549166
"200" 7.00261602096637 7.01870402617533
"201" 6.92526898302184 6.94108776091079
"202" 6.84722990408931 6.8625812569197
"203" 6.76890414006905 6.7837752036196
"204" 6.6909806007658 6.70540676610504
"205" 6.6143746276168 6.62839201727252
"206" 6.54006407484738 6.55371605256232
"207" 6.4690771233571 6.48241494144894
"208" 6.40269850865053 6.41574536849697
"209" 6.34221576844099 6.35496911536592
"210" 6.28885788521845 6.30127199703244
"211" 6.24345184335486 6.25580654815272
"212" 6.20741353257005 6.21982586843877
"213" 6.18087750039804 6.19414795221188
"214" 6.16779247540419 6.18032253604466
"215" 6.16533306047447 6.1781113137251
"216" 6.17506805706151 6.18810429774256
"217" 6.1968135039505 6.21020931969724
"218" 6.23025352579176 6.24411860923856
"219" 6.27484202443295 6.28906524129025
"220" 6.32929595096037 6.34422150048757
"221" 6.39274923963888 6.40823993596453
"222" 6.4628125251407 6.47960437074552
"223" 6.54068192855297 6.5576303780059
"224" 6.62234674160605 6.63984643594217
"225" 6.70721736106192 6.7253680227512
"226" 6.79357776984462 6.81245877628855
"227" 6.88028613886588 6.89998237486891
"228" 6.96651173899823 6.98681450792196
"229" 7.05085668679467 7.0718242383108
"230" 7.13250791982759 7.1541938295474
"231" 7.21098993548312 7.23329523519023
"232" 7.2856156358072 7.30853890817013
"233" 7.35633354727884 7.37962952040776
"234" 7.42180660288342 7.4459697014964
"235" 7.48312856734225 7.50774241917048
"236" 7.5396444487497 7.56466825198979
"237" 7.59134493744935 7.61673070915493
"238" 7.63789680250296 7.66384565120771
"239" 7.68009156748417 7.70623801767588
"240" 7.71723888567584 7.74380031928827
"241" 7.75006611438074 7.77684389113176
"242" 7.77108021423757 7.80387851452266
"243" 7.80215583717377 7.82943361726142
"244" 7.82178348961965 7.84928281529312
"245" 7.83740668500992 7.86502356853273
"246" 7.84895739033144 7.87675046202414
"247" 7.85677770177339 7.88452307278929
"248" 7.86056461905872 7.8886174836318
"249" 7.86095673209213 7.88899295681677
"250" 7.85763371038563 7.88576093717214
"251" 7.85099643777571 7.87901598809409
"252" 7.84061743050438 7.86874728821223
"253" 7.82726021483038 7.85516387886468
"254" 7.81041668255662 7.83814902638883
"255" 7.7903294083877 7.81784128266798
"256" 7.76674915173918 7.79420898409104
"257" 7.74011443520652 7.76725632847117
"258" 7.71002991385971 7.73705784953863
"259" 7.67683271158108 7.70354865466591
"260" 7.64045842871426 7.66683344602249
"261" 7.59966482513127 7.62665022720009
"262" 7.55784151836612 7.58349988994226
"263" 7.5118162353913 7.53696896332147
"264" 7.46223398825561 7.48708417415012
"265" 7.4096236774077 7.4340227794827
"266" 7.35312174994947 7.37765039462346
"267" 7.29497695572517 7.31839601520429
"268" 7.23338800690744 7.25608590779885
"269" 7.16818966904072 7.19063820497606
"270" 7.10085231804317 7.12263885639607
"271" 7.03094503005336 7.05211618398178
"272" 6.95856431516257 6.97931237655766
"273" 6.8845803803378 6.90472441504029
"274" 6.80914231086982 6.82865183923332
"275" 6.73266667158146 6.75171933469582
"276" 6.65613565859597 6.67458819843726
"277" 6.58023709474612 6.59801461946209
"278" 6.50548475045017 6.52274326068092
"279" 6.43298165810798 6.44976846616927
"280" 6.363671051958 6.38016451053375
"281" 6.29856611186667 6.31496321787996
"282" 6.23993953397917 6.25560624140085
"283" 6.18756763241607 6.2030290830415
"284" 6.14327805742861 6.15853288027502
"285" 6.10797849316209 6.12316115327777
"286" 6.08272669904723 6.09792722201257
"287" 6.07024123172743 6.08436292493725
"288" 6.06537696846695 6.08085772625685
"289" 6.07417503541743 6.08991334195534
"290" 6.09472723961961 6.11080369779814
"291" 6.12667326956694 6.14319312272255
"292" 6.1694452612227 6.18651186344409
"293" 6.22222771234291 6.23989956354586
"294" 6.28413128186409 6.30233027136302
"295" 6.35333578375232 6.37231655993504
"296" 6.4287081810512 6.44862476665202
"297" 6.50936427710215 6.52995254403491
"298" 6.59326675558986 6.61466880861823
"299" 6.67923872550445 6.70144604183344
"300" 6.76600384453437 6.78901290378049
"301" 6.85240641438189 6.87619909859523
"302" 6.93740522638985 6.96197588441743
"303" 7.02022807881693 7.04549724566509
"304" 7.10002086274974 7.12600783832522
"305" 7.17627855761707 7.20293742875075
"306" 7.24854876870222 7.27583296185018
"307" 7.31663675224312 7.34430685767824
"308" 7.37985432487005 7.40828845231509
"309" 7.44003994242572 7.46744969777058
"310" 7.49239228908021 7.52180883698848
"311" 7.54146882496013 7.57130480811414
"312" 7.58576155984088 7.61599437061482
"313" 7.62533498688018 7.65592596104685
"314" 7.65088727218092 7.68929452733863
"315" 7.69071540718443 7.7218880702012
"316" 7.71673905364385 7.74812467894843
"317" 7.73844033925691 7.77005636097504
"318" 7.76017910893758 7.78723531660363
"319" 7.76946127063116 7.80137008467708
"320" 7.77899477054731 7.81099794059814
"321" 7.78468215663506 7.81674601863619
"322" 7.78663786139088 7.81871137994665
"323" 7.78487728946209 7.81697314943106
"324" 7.77959269955553 7.81161737347715
"325" 7.77079593383629 7.8027229397972
"326" 7.75854343897849 7.79029737681696
"327" 7.74197543160255 7.77424649074957
"328" 7.72384515774482 7.75519880535996
